Time (s),Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Absolute acceleration,gyroscope x,gyroscope y,gyroscope z,Absolute gyroscope,Speed (m/s),label_code,label_desc,source_file,global_index
3.421519022,0.5174074173,6.188382626,-5.258266926,8.137146983,-0.08881635964,-0.05486107618,0.005725792143,0.104550792,6.332222356111111,PLN,Normal Riding,PLN_R_1.csv,97
3.456397356,5.22809124,-3.242767334,0.831987381,6.208114126,0.128364265,0.1964079887,0.2070606202,0.3129338316,6.329629757148148,PLN,Normal Riding,PLN_R_1.csv,98
3.491256522,-6.302920818,1.237194777,1.457316399,6.58644311,-0.1793637723,0.1292963773,0.007856319658,0.2212479102,6.327037158185186,PLN,Normal Riding,PLN_R_1.csv,99
3.52652496,0.03011083603,-6.282926083,4.386787415,7.662895709,-0.162319541,-0.1422126889,0.3082606792,0.3762934077,6.324444559222222,PLN,Normal Riding,PLN_R_1.csv,100
3.561090116,6.578083992,-5.852675915,2.850141525,9.254637275,0.114515841,-0.3563306928,0.09733846784,0.3867301614,6.321851960259259,PLN,Normal Riding,PLN_R_1.csv,101
3.596191783,5.787917137,-2.421432257,-2.568870068,6.779558421,-0.08029424399,-0.103863202,0.1708416492,0.2154567229,6.319259361296297,PLN,Normal Riding,PLN_R_1.csv,102
3.630849126,3.052842379,-0.4963222146,-3.916794777,4.990737787,0.1422126889,0.1250353158,0.1101216301,0.2190549075,6.316666762333333,PLN,Normal Riding,PLN_R_1.csv,103
3.665737095,0.8442509174,-2.217395067,-0.4436664581,2.413802068,0.06977476925,-0.07403582335,0.07816372067,0.1282941495,6.31407416337037,PLN,Normal Riding,PLN_R_1.csv,104
3.700598345,7.3944664,-4.410894394,0.5160865784,8.625570593,0.2039979845,-0.1049284711,0.256062746,0.3437925125,6.311481564407408,PLN,Normal Riding,PLN_R_1.csv,105
3.735838345,0.3081216812,-3.510335684,-2.313455105,4.21538493,0.06018739566,-0.2444780022,0.1452753246,0.2906835669,6.308888965444444,PLN,Normal Riding,PLN_R_1.csv,106
3.770418345,7.463099957,-3.136772156,-2.498101711,8.472172843,-0.01012000442,0.284824878,0.3615238369,0.4603554173,6.306296366481481,PLN,Normal Riding,PLN_R_1.csv,107
3.80529522,-10.49173832,4.297971249,-2.106235027,11.53192767,-0.07070687413,0.4265049398,0.02277000993,0.4329253967,6.303703767518519,PLN,Normal Riding,PLN_R_1.csv,108
3.840164856,-9.501188278,3.677660465,-1.241484642,10.26348134,-0.06431528926,0.4105259776,0.3029343486,0.5142346296,6.301111168555556,PLN,Normal Riding,PLN_R_1.csv,109
3.875067876,-8.327223778,6.525751591,3.361027718,11.1006575,0.1773663908,0.4552670419,-0.06138581783,0.4924379501,6.298518569592592,PLN,Normal Riding,PLN_R_1.csv,110
3.910000949,-12.675704,11.09676743,-6.91957283,18.21241904,0.6171871424,0.2528669536,-0.143277958,0.6821951614,6.2959259706296296,PLN,Normal Riding,PLN_R_1.csv,111
3.945037408,-4.472480774,12.67593956,-0.7559137344,13.46305811,0.143277958,0.3945470154,0.09733846784,0.4308952285,6.293333371666667,PLN,Normal Riding,PLN_R_1.csv,112
3.980078866,-11.2778101,11.04512215,-3.199394226,16.10651568,0.05060002208,0.1410142779,-0.1731053442,0.2289341587,6.290740772703703,PLN,Normal Riding,PLN_R_1.csv,113
4.014933137,2.402881622,-0.4508395791,-2.195606709,3.285998362,0.3414169848,-0.0239684321,0.1687111259,0.3815802501,6.2881481737407405,PLN,Normal Riding,PLN_R_1.csv,114
4.049868085,-1.396079898,6.926636219,-4.465909958,8.35892817,0.1731053442,0.05792371184,-0.157126382,0.2408512331,6.285555574777778,PLN,Normal Riding,PLN_R_1.csv,115
4.084431731,-0.6044802666,7.174974918,-8.955629349,11.49125574,0.4671181142,0.0813595131,-0.02729738131,0.4749356273,6.282962975814814,PLN,Normal Riding,PLN_R_1.csv,116
4.119554595,1.217859149,0.0419113338,-0.4829206467,1.31078214,-0.0005326318205,0.3796333373,-0.1869537681,0.423170729,6.2803703768518515,PLN,Normal Riding,PLN_R_1.csv,117
4.154327824,-6.140891552,10.38613033,-6.03631258,13.49145366,0.3499391079,0.1868206114,-0.2924148738,0.4928141419,6.277777777888889,PLN,Normal Riding,PLN_R_1.csv,118
4.189427095,2.636457443,-4.085451126,2.825763702,5.623767354,-0.09733846784,-0.05273054913,-0.01131842658,0.1112807032,6.275185178925926,PLN,Normal Riding,PLN_R_1.csv,119
4.224206678,5.636359692,2.737968206,3.390166283,7.12448229,0.04207791388,0.06005423889,-0.1816274524,0.1958713708,6.2725925799629625,PLN,Normal Riding,PLN_R_1.csv,120
4.259059856,0.2008501291,3.472594261,-9.071572304,9.715589315,0.4957470596,0.07922898233,-0.02410159074,0.5026164198,6.269999981,PLN,Normal Riding,PLN_R_1.csv,121
4.293752616,-2.395162821,3.02055192,-2.644777775,4.674974686,-0.01651158556,-0.1326253265,0.1303616315,0.1866983253,6.269999981,PLN,Normal Riding,PLN_R_1.csv,122
4.328681522,6.583233833,6.266452789,-3.011647701,9.574832643,0.4660528302,0.4499407411,-0.3158506751,0.7207035174,6.269999981,PLN,Normal Riding,PLN_R_1.csv,123
4.363550168,-11.19408512,11.97092628,-13.09203529,20.97646314,0.185888499,0.306130141,-0.2551306486,0.4397292862,6.269999981,PLN,Normal Riding,PLN_R_1.csv,124
4.398425376,-0.1501117945,4.679020405,-4.681682587,6.620718793,0.1880190372,0.227300629,-0.07297056168,0.3038773391,6.269999981,PLN,Normal Riding,PLN_R_1.csv,125
4.433310897,-0.006350040436,-3.915608644,-1.540229321,4.207652284,-0.08349003643,-0.1592569202,0.2507364154,0.30854838,6.269999981,PLN,Normal Riding,PLN_R_1.csv,126
4.468206887,5.527523518,-3.536000013,7.877910614,10.252721,-0.2592585385,-0.1304948032,-0.1880190372,0.3458251607,6.269999981,PLN,Normal Riding,PLN_R_1.csv,127
4.503107772,5.270759106,-12.77741432,-2.899109364,14.12260788,-0.2901511788,-0.502271831,0.2773680091,0.6429601164,6.269999981,PLN,Normal Riding,PLN_R_1.csv,128
4.53799621,13.18256092,-14.62292767,8.094495773,21.2868689,-0.2422143221,-0.1411474347,0.1878858805,0.3374781182,6.269999981,PLN,Normal Riding,PLN_R_1.csv,129
4.572914543,1.147977352,4.555711269,-0.5362386703,4.728626554,-0.2400837988,0.2581932843,0.05792371184,0.3572942189,6.269999981,PLN,Normal Riding,PLN_R_1.csv,130
4.607782772,-4.654748917,-8.406032562,3.416698456,10.19813215,-0.2315616906,-0.128364265,0.241149053,0.358121581,6.269999981,PLN,Normal Riding,PLN_R_1.csv,131
4.642661314,3.005443335,-9.47784996,9.837449074,13.98705594,-0.5724460483,-0.2753706574,0.148471117,0.6523550795,6.269999981,PLN,Normal Riding,PLN_R_1.csv,132
4.677553814,12.88846493,-11.47542477,3.9412117,17.70115961,0.3041327596,-0.4841623306,-0.05499423668,0.5743990459,6.269999981,PLN,Normal Riding,PLN_R_1.csv,133
4.712420845,8.461518288,-2.082062721,-1.363559723,8.819953063,-0.2784332931,0.01331579592,0.2635195851,0.3835948134,6.269999981,PLN,Normal Riding,PLN_R_1.csv,134
